d_in,w_in,h_in,t_in,concrete_cy,note
12,24,36,12,0.21,
15,30,38,12,0.27,
18,36,39,12,0.33,
21,42,40,12,0.39,
24,48,42,12,0.46,
27,54,44,12,0.53,
30,60,45,12,0.60,
33,66,46,12,0.68,
36,72,48,12,0.76,
39,78,50,12,0.84,
42,84,51,12,0.92,
48,96,54,12,1.10,
54,111,57,12,1.33,
60,126,60,12,1.78,
66,141,63,12,2.06,
72,156,72,12,2.37,
78,171,75,14,2.94,
84,186,78,14,3.30,
90,201,81,16,4.00,
96,216,84,16,4.40,
102,231,87,18,5.28,
108,246,90,20,6.21,
114,261,93,22,7.25,
120,276,96,24,8.38,
126,276,99,26,8.64,between end treatment A and B
132,276,102,28,9.23,
138,289,105,30,10.50,
144,302,108,32,11.89,
150,316,111,34,13.38,
156,329,114,36,15.01,
162,343,117,38,16.75,
168,356,120,40,18.61,
174,369,123,42,20.28,
180,383,126,43,21.87,
186,396,129,44,23.54,
192,410,132,45,25.30,
198,423,135,46,27.12,
204,436,138,47,29.15,
210,450,141,48,31.03,
216,463,144,49,33.43,
222,477,147,50,36.26,
228,490,150,51,37.52,
234,504,153,52,39.86,
240,517,156,53,42.28,
246,530,159,54,44.83,
252,544,162,54,47.44,
