Combination,Species,Fb_pos,Fb_neg,Ft,Fv,Fc_perp,Fc,E,Emin,CM_Fb,CM_Ft,CM_Fv,CM_Fc_perp,CM_Fc,CM_E,CM_Emin
24F-V4,Douglas Fir,2400,1850,1100,265,650,1600,1800000,950000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
24F-V8,Douglas Fir,2400,1450,800,265,650,1600,1800000,950000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
20F-V7,Douglas Fir,2000,1450,800,265,650,1450,1600000,840000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
16F-V2,Douglas Fir,1600,1050,675,230,560,1400,1400000,740000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
24F-V3,Douglas Fir,2400,1450,1050,265,650,1600,1700000,900000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
26F-V1,Douglas Fir,2600,1850,1250,265,650,1750,1900000,1000000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
24F-V4,Southern Pine,2400,1850,1100,300,740,1650,1800000,950000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
24F-V5,Southern Pine,2400,1450,800,300,740,1650,1800000,950000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
20F-V3,Southern Pine,2000,1100,675,260,650,1450,1600000,840000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
24F-V1,Southern Pine,2400,1450,1050,300,740,1650,1700000,900000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
16F-V3,Southern Pine,1600,1050,675,260,560,1400,1400000,740000,0.80,0.80,0.875,0.53,0.73,0.833,0.833
