Nominal_Width,Nominal_Depth,Actual_Width,Actual_Depth,Area,Sx,Ix,Sy,Iy,rx,ry
2,4,1.5,3.5,5.25,3.063,5.359,1.313,0.984,1.010,0.433
2,6,1.5,5.5,8.25,7.563,20.797,2.063,1.547,1.588,0.433
2,8,1.5,7.25,10.875,13.141,47.635,2.719,2.039,2.093,0.433
2,10,1.5,9.25,13.875,21.391,98.932,3.469,2.602,2.670,0.433
2,12,1.5,11.25,16.875,31.641,177.979,4.219,3.164,3.248,0.433
2,14,1.5,13.25,19.875,43.891,290.775,4.969,3.727,3.825,0.433
2,16,1.5,15.25,22.875,58.141,443.322,5.719,4.289,4.403,0.433
3,4,2.5,3.5,8.75,5.104,8.932,3.646,4.557,1.010,0.722
3,6,2.5,5.5,13.75,12.604,34.661,5.729,7.161,1.588,0.722
3,8,2.5,7.25,18.125,21.901,79.391,7.552,9.440,2.093,0.722
3,10,2.5,9.25,23.125,35.651,164.886,9.635,12.044,2.670,0.722
3,12,2.5,11.25,28.125,52.734,296.631,11.719,14.648,3.248,0.722
3,14,2.5,13.25,33.125,73.151,484.625,13.802,17.253,3.825,0.722
3,16,2.5,15.25,38.125,96.901,738.870,15.885,19.857,4.403,0.722
4,4,3.5,3.5,12.25,7.146,12.505,7.146,12.505,1.010,1.010
4,6,3.5,5.5,19.25,17.646,48.526,11.229,19.651,1.588,1.010
4,8,3.5,7.25,25.375,30.661,111.148,14.802,25.904,2.093,1.010
4,10,3.5,9.25,32.375,49.911,230.840,18.885,33.049,2.670,1.010
4,12,3.5,11.25,39.375,73.828,415.283,22.969,40.195,3.248,1.010
4,14,3.5,13.25,46.375,102.411,678.475,27.052,47.341,3.825,1.010
4,16,3.5,15.25,53.375,135.661,1034.418,31.135,54.487,4.403,1.010
6,6,5.5,5.5,30.25,27.729,76.255,27.729,76.255,1.588,1.588
6,8,5.5,7.25,39.875,48.184,174.667,36.510,100.404,2.093,1.588
6,10,5.5,9.25,50.875,78.434,362.750,46.635,128.316,2.670,1.588
6,12,5.5,11.25,61.875,116.016,652.586,56.719,155.859,3.248,1.588
6,14,5.5,13.25,72.875,160.932,1066.172,66.802,183.402,3.825,1.588
6,16,5.5,15.25,83.875,213.180,1625.508,76.885,210.945,4.403,1.588
6,18,5.5,17.25,94.875,272.760,2352.594,86.969,238.488,4.980,1.588
6,20,5.5,19.25,105.875,339.672,3269.430,97.052,266.031,5.558,1.588
6,24,5.5,23.5,129.25,506.229,5948.191,118.396,325.588,6.785,1.588
8,8,7.5,7.25,54.375,65.703,238.182,67.891,254.180,2.093,2.165
8,10,7.5,9.25,69.375,106.953,494.660,86.719,325.195,2.670,2.165
8,12,7.5,11.25,84.375,158.203,889.898,105.469,395.508,3.248,2.165
8,14,7.5,13.25,99.375,219.453,1453.898,124.219,465.820,3.825,2.165
8,16,7.5,15.25,114.375,290.703,2216.660,142.969,536.133,4.403,2.165
8,18,7.5,17.25,129.375,371.953,3208.182,161.719,606.445,4.980,2.165
8,20,7.5,19.25,144.375,463.203,4458.466,180.469,676.758,5.558,2.165
8,24,7.5,23.5,176.25,690.234,8106.078,220.313,825.195,6.785,2.165
10,10,9.5,9.25,87.875,135.469,626.570,139.115,660.797,2.670,2.742
10,12,9.5,11.25,106.875,200.391,1127.672,169.036,802.969,3.248,2.742
10,14,9.5,13.25,125.875,278.078,1842.234,199.219,946.289,3.825,2.742
10,16,9.5,15.25,144.875,368.531,2810.258,229.469,1089.844,4.403,2.742
10,18,9.5,17.25,163.875,471.750,4068.742,259.635,1233.164,4.980,2.742
10,20,9.5,19.25,182.875,587.734,5654.688,289.719,1376.250,5.558,2.742
10,24,9.5,23.5,223.25,874.297,10273.047,353.781,1680.469,6.785,2.742
12,12,11.5,11.25,129.375,242.578,1364.547,248.047,1426.270,3.248,3.319
12,14,11.5,13.25,152.375,336.703,2229.734,292.052,1679.297,3.825,3.319
12,16,11.5,15.25,175.375,446.359,3403.984,336.406,1934.336,4.403,3.319
12,18,11.5,17.25,198.375,571.547,4929.297,380.365,2186.100,4.980,3.319
12,20,11.5,19.25,221.375,712.266,6852.672,424.719,2441.133,5.558,3.319
12,24,11.5,23.5,270.25,1058.359,12435.604,518.229,2979.820,6.785,3.319
14,14,13.5,13.25,178.875,395.328,2619.233,402.469,2716.652,3.825,3.897
14,16,13.5,15.25,205.875,523.984,3997.878,463.031,3125.461,4.403,3.897
14,18,13.5,17.25,232.875,670.828,5786.397,523.594,3534.270,4.980,3.897
14,20,13.5,19.25,259.875,835.859,8043.789,584.156,3943.055,5.558,3.897
14,24,13.5,23.5,317.25,1242.422,14598.461,713.438,4815.703,6.785,3.897
16,16,15.5,15.25,236.375,601.609,4591.773,610.469,4731.133,4.403,4.474
16,18,15.5,17.25,267.375,770.109,6643.442,690.781,5353.555,4.980,4.474
16,20,15.5,19.25,298.375,959.453,9234.883,771.094,5978.477,5.558,4.474
16,24,15.5,23.5,364.25,1426.484,16761.191,940.313,7287.422,6.785,4.474
