Species,Grade,Size_Class,Fb,Ft,Fv,Fc_perp,Fc,E,Emin,Specific_Gravity,CM_Fb,CM_Ft,CM_Fv,CM_Fc_perp,CM_Fc,CM_E,CM_Emin
Douglas Fir-Larch,Select Structural,2x4,1500,1000,180,625,1700,1900000,690000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,Select Structural,2x6-2x8,1350,900,180,625,1700,1900000,690000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,Select Structural,2x10-2x12,1200,800,180,625,1700,1900000,690000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 1,2x4,1150,775,180,625,1550,1700000,620000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 1,2x6-2x8,1050,700,180,625,1500,1700000,620000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 1,2x10-2x12,950,625,180,625,1450,1700000,620000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 2,2x4,900,575,180,625,1400,1600000,580000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 2,2x6-2x8,850,525,180,625,1350,1600000,580000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 2,2x10-2x12,750,475,180,625,1300,1600000,580000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 3,2x4,525,325,180,625,825,1400000,510000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 3,2x6-2x8,500,300,180,625,775,1400000,510000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,No. 3,2x10-2x12,475,275,180,625,725,1400000,510000,0.50,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Douglas Fir-Larch,Select Structural,5x5_and_larger_B&S,1600,1100,170,625,1150,1600000,580000,0.50,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Douglas Fir-Larch,No. 1,5x5_and_larger_B&S,1350,925,170,625,1000,1600000,580000,0.50,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Douglas Fir-Larch,No. 2,5x5_and_larger_B&S,875,600,170,625,475,1300000,470000,0.50,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Douglas Fir-Larch,Select Structural,5x5_and_larger_P&T,1500,1000,170,625,1150,1600000,580000,0.50,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Douglas Fir-Larch,No. 1,5x5_and_larger_P&T,1200,825,170,625,1000,1600000,580000,0.50,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Douglas Fir-Larch,No. 2,5x5_and_larger_P&T,750,500,170,625,475,1300000,470000,0.50,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Southern Pine,Select Structural,2x4,1850,1100,175,565,1800,1800000,660000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,Select Structural,2x6-2x8,1650,975,175,565,1750,1800000,660000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,Select Structural,2x10-2x12,1500,875,175,565,1700,1800000,660000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 1,2x4,1400,825,175,565,1650,1700000,620000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 1,2x6-2x8,1250,725,175,565,1600,1700000,620000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 1,2x10-2x12,1100,650,175,565,1550,1700000,620000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 2,2x4,1100,650,175,565,1500,1600000,580000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 2,2x6-2x8,975,575,175,565,1450,1600000,580000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 2,2x10-2x12,875,500,175,565,1400,1600000,580000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 3,2x4,625,375,175,565,950,1400000,510000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 3,2x6-2x8,575,350,175,565,900,1400000,510000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,No. 3,2x10-2x12,525,300,175,565,850,1400000,510000,0.55,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Southern Pine,Select Structural,5x5_and_larger_B&S,1750,1200,165,565,1200,1600000,580000,0.55,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Southern Pine,No. 1,5x5_and_larger_B&S,1450,975,165,565,1000,1600000,580000,0.55,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Southern Pine,No. 2,5x5_and_larger_B&S,950,625,165,565,525,1200000,440000,0.55,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Southern Pine,Select Structural,5x5_and_larger_P&T,1650,1100,165,565,1200,1600000,580000,0.55,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Southern Pine,No. 1,5x5_and_larger_P&T,1300,875,165,565,1000,1600000,580000,0.55,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Southern Pine,No. 2,5x5_and_larger_P&T,825,550,165,565,525,1200000,440000,0.55,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Hem-Fir,Select Structural,2x4,1400,925,150,405,1500,1600000,580000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,Select Structural,2x6-2x8,1250,825,150,405,1450,1600000,580000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,Select Structural,2x10-2x12,1100,725,150,405,1400,1600000,580000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 1,2x4,1050,700,150,405,1350,1500000,550000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 1,2x6-2x8,975,625,150,405,1300,1500000,550000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 1,2x10-2x12,875,575,150,405,1250,1500000,550000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 2,2x4,850,525,150,405,1300,1300000,470000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 2,2x6-2x8,800,475,150,405,1250,1300000,470000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 2,2x10-2x12,725,425,150,405,1200,1300000,470000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 3,2x4,500,300,150,405,750,1200000,440000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 3,2x6-2x8,475,275,150,405,725,1200000,440000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Hem-Fir,No. 3,2x10-2x12,425,250,150,405,675,1200000,440000,0.43,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,Select Structural,2x4,1150,775,170,820,1150,1400000,510000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,Select Structural,2x6-2x8,1050,700,170,820,1100,1400000,510000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,Select Structural,2x10-2x12,950,625,170,820,1050,1400000,510000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 1,2x4,850,575,170,820,1000,1300000,470000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 1,2x6-2x8,775,525,170,820,950,1300000,470000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 1,2x10-2x12,700,475,170,820,900,1300000,470000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 2,2x4,650,425,170,820,800,1200000,440000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 2,2x6-2x8,575,375,170,820,750,1200000,440000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 2,2x10-2x12,525,350,170,820,700,1200000,440000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 3,2x4,375,250,170,820,475,1100000,400000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 3,2x6-2x8,350,225,170,820,425,1100000,400000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,No. 3,2x10-2x12,325,200,170,820,400,1100000,400000,0.67,0.85,1.0,0.97,0.67,0.80,0.90,0.90
Red Oak,Select Structural,5x5_and_larger_B&S,1200,825,155,820,750,1400000,510000,0.67,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Red Oak,No. 1,5x5_and_larger_B&S,1000,675,155,820,625,1400000,510000,0.67,1.0,1.0,1.0,0.67,0.91,1.0,1.0
Red Oak,No. 2,5x5_and_larger_B&S,650,450,155,820,325,1100000,400000,0.67,1.0,1.0,1.0,0.67,0.91,1.0,1.0
